id,name
168141301,Ice Dragon Slayer
11377306,Silver Ninja Star of the Brilliant Light
127506105,Korblox Mage Staff
121946387,Bombo's Survival Knife
101106419,Farmer's Revenge
11419319,Healing Potion
517827962,Mr. Whiskers 
12547976,Space Sandwich
12187348,Ronin Katana
114020480,Pretty Pretty Princess Sceptor
11563251,Fuse Bomb
1060280135,Evil Knight Sword
286526176,Adurite Katana
31839337,Torch
10472779,Bloxy Cola
11452821,Claymore
22960388,Chimp Friend
83021250,The Fiery Sun
11999247,Subspace Tripmine
46846246,Panda Friend
113328094,Lightblox Jar
11450664,Slateskin Potion
928914739,Black Iron Katana
44115926,Magical Umbrella
13745494,Turkey Leg
2568114215,Blinged Gold Motorcycle
467138029,Robot Dance Gun
170903610,Intergalactic Sword
11453385,Katana
1033136271,Interplanetary Light Sword
55917429,Knights of the Splintered Skies: Bow and Arrow 
268533852,Magical Unicorn
409745306,Sword of the Epicredness
170897263,Mad Murderer Knife
95951330,Skeleton Scythe
336370943,Laser Gun of Tomorrow
147143848,Flaming Mace
58574452,Go Fish
253519495,Ultimate Drive Speedster
168143042,Galactic Laser Gun
48847374,Positronic Arm Cannon
477910063,Deluxe Rainbow Magic Carpet
92142799,Phoenix
16726030,Cheezburger
49929724,Knights of Redcliff: Battle Axe
15932306,Starblox Latte
212296936,Red Hyperlaser Gun
108875237,Sapphire Rapid Fire Shocker
168140813,Flaming Halberd
89487934,Medusa Head
295460702,Super Slash Cat Claws
12848902,Teddy Bloxpin
168140949,Dragon's Flame Sword
24346755,Frying Pan
73829214,Atmoshocker
162857357,Portable Beach
107458429,Throwing Spork
22787248,Watermelon
57983532,Volleyball
113299556,Ultraviolet Laser Oculus
602146440,Pizza Sword
42845853,Super Freeze Ray 2011
90718350,Bear Mine Gun
94233391,Ghost Dragon
18462637,Staff of the Winds
261439002,Winters Greatsword
2463674178,Baby Nessie Mount
2350122208,Cobalt Interplanetary Light Sword
26013203,Freeze Ray
54130559,Poseidon's Quake Trident
186868641,Snow and Arrow
55301897,Baseball Bat
306971294, Bat Scythe
163354553,Bluesteel Midas Hand
147143863,Darkest Arts Sword
503957396,Deluxe Coil Gun
45513203,Star Hammer
115377964,Laser Finger Pointers
108875151,Golden Katana of Destiny
65545955,Dance Grenade
19704064,Ice Staff
61459706,Staff of Shifting Polarity
127506364,Knights of Redcliff: Deluxe Sword and Shield Set
262406180,Magnificent Lion 
1191149773,Falcon-Pack 9000
101734094,Korblox Flying Oblivion Horn
10760425,Staff of Sparks
461488745,Flaming Orb of Divine Pain
846794018,Bluesea Soarer
163352376,Personal UFO
103359953,Shadow Sword
243790334,Golden Steampunk Gloves
10727852,Witches Brew
15970544,Harbinger of Fimbulwinter
74385399,Remote Explosive Detonator
30649735,Magnificent Magenta Paintball Gun
172246669,Paintball Pro
65082246,Elixir of Dreams
2445089071,Zombie Hunter Motorcycle
29099749,Transmorph Ray Gun
16214845,Cake
92628074,Orinthian Blaster 3777
72644644,Quantum Entangler
2163551089,Bluesteel Crossbow
73265108,Telamax xTreme Dual Shoulder Cannons
1981813154,Sword of Starlight
73888479,Spikesplosion
319656339,Cuddly Cat
380204314,Lucky Throwing Axes
283755431,Dueling Piano
12187319,Sword of the Highlander
156467855,Korblox Bone Mace
1678349400,Radical Purple Keytar
114020505,Knights of RedCliff: Battle Horn 
34901961,Gravity Gun
208659734,Super Spy Laser Blaster
154727251,Super Speedy Purple Potion
176087556,Leopard Print Balloon
359244394,Guitar of Rock Excellence
129471121,Trololo Cape of Invisibility
87361662,Ice Breaker
1074738432,Gigantic Bat Wings
184760397,Steampunk Bow
16688968,Gravity Coil
517827255,Double-Bladed Scythe
99119158,Speed Coil
117498849,Wasp Wings
223439643,Overseer Sword & Shield
82357123,Laser Electrocutor
128162639,Emerald Knights of the Seventh Sanctum Spellbook
169602103,Seranok's Rocket Jumper
51757162,Korblox: Berserker's Claymore
172298750,Dragonheart Sword & Shield
92628079,Orinthian Sword and Shield
157205831,Steampunk Jetpack
103358098,Tom's Beans
12902404,Bundle of TNT
188643628,Killer Whale Launcher
1536052210,Gem Egg Claymore
80576967,Spray Paint
178076989,Exploding Heart
158069110,Poisoned Skeleton Scythe
46360870,Ice Axe
22152195,Heartbreak
53623295,Njay's Web Blaster 
121385262,Zombie Dog
50454086,Egg Fuse Bomb
46846074,Ninja Darts
1560600467,Combat Mop
71037028,Flying Magic Carpet
1402322831,Sword of Heartsongs
639345143,Galactic Green Blaster
225921000,Rainbow Magic Carpet
2190016098,Above Top Secret Jetpack
92627988,Orinthian Mace
102705430,Incinerator 6000
111876831,April Showers
71597027,The Sea's Revenge
47871615,Guitarmy
243007180,HEX Spitter
903197575,Overseer Mace
206798405,Laser Lava Launcher
70476425,Dragonshead Cannon
257813288,Neon Mystery Cape
84417104,Helper Cannon
283756680,Ultraviolet Blaster
304719869,10/9 - Zombie Escape Scooter
30847779,Magic Ninja
82357079,Riot Shield and Billy Club Set
1340206957,Black Hole Sword
168142394,Dual Bacon Daggers
271017031,Sushi Scooter
74385386,Razevenge
221173959,Red Panda
211944997,Donut Delivery Moped
26014536,Red Rebels Paintball Gun
123234673,Camping Machete
52625744,Picnic Basket
10831489,Fencing Foil
295460073,Plunger Launcher
99797357,Holiday Ornament Staff
174752245,Silver Crossbow
1760404984,Teapot Launcher
1132887630,8-Bit Pumpkin Launcher
163348758,Victrola
64220952,Ghostfire Throwing Daggers
1241587075,Personal Plane
53130867,JediTkacheff's DeathStar
16722267,Moneybag
1149579825, Winged Guitar
15177716,Taco
174752553,Civil War Artillery
19328185,Snowball
125859483,NY Pizza Frisbee
102705386,Earth's Might Staff
2103274863,8-Bit Sword and Shield
1016184293,Coffee Cruiser
105289761,Beast Claws
21392199,Chocolate Milk
160198363,Dynamically Lit Sword
176087466,Zebra Laser Gun
150363993,Spring Sunshine
359178822,Orinthian Winged Jet Pack
150366351,Spring Launcher
16979083,Flashbang
346687267,Green Elf Bow
20721924,Spartan Sword
126704033,Chupacabra
236441643,Earth Protection Orb
13206856,Jungle Guitar
439988813,Attack Ocelot
106701564,Wizards of the Astral Isles: Rat Plague Summoner
151292047,Staff of Staff
754869699,Deluxe Pirate Hook
80576928,Tee Shirt Cannon
271017537,Squid Launcher
425121415,School's Out Launcher
430066424,Bunch of Balloons
81847570,Military Axe
85879465,Torso Cannon 
79446395,Toxic Goo Trap
82357101,Portable Justice
2535102910,R0b0-Penguin
105351748,Kittypult
91360028,Puppet Master
69210407,Remote Control Plane
522587921,Zombie STOPing Axe
118281529,Harpoon
346687565,Blue Speedster
746686384,Winged Magical Staff
52180871,Remote Controlled Monster Truck
117498775,Beehive
18409191,Spikey Stick of Civilized Negotiation
1033137155,Deluxe Green Roped
2136389582,Makeshift Bow
2045767145,Robotic Horse Mount
359179463,Year of the Monkey Lantern
835780770,Winterfang: The Fateful
13478015,Skele-tar
2409286506,Bat-tle Axe
101078559,Icy Arctic Fowl
159199229,Bruin Mount
1990279115,Great White Mount
97161295,Gear Cloner
728205177,Spring Saber
97161262,Booster Gloves
47262108,Kunai
152187198,Red Rock Star Guitar 
527383094,Sir Scaresalot
42845684,Dusek Car
100469994,Danger Mace
174752186,The Sword of Shai
220288951,Attack Snake Staff
60888200,DarkAge Ninjas: SunFire Scroll
1060282245,Forest Bow and Arrow
450565762,Attack Raccoon
1016183873,Golden Magic Carpet
143606363,Hot Chocolate Launcher
12145515,Wooden Sword
122278207,Punk Wrist Cuff
121385193,Rubber Chicken Launcher
283754518,Rock Thunder
72713855,Gigantoform
96669682,Danger Dagger
146047188,Presidential Vampire Slaying Ax
168140516,Breath of Fire
