ID: 168141301, Name: Ice Dragon Slayer
ID: 11377306, Name: Silver Ninja Star of the Brilliant Light
ID: 127506105, Name: Korblox Mage Staff
ID: 121946387, Name: Bombo's Survival Knife
ID: 101106419, Name: Farmer's Revenge
ID: 11419319, Name: Healing Potion
ID: 517827962, Name: Mr. Whiskers 
ID: 12547976, Name: Space Sandwich
ID: 12187348, Name: Ronin Katana
ID: 114020480, Name: Pretty Pretty Princess Sceptor
ID: 11563251, Name: Fuse Bomb
ID: 1060280135, Name: Evil Knight Sword
ID: 286526176, Name: Adurite Katana
ID: 31839337, Name: Torch
ID: 10472779, Name: Bloxy Cola
ID: 11452821, Name: Claymore
ID: 22960388, Name: Chimp Friend
ID: 83021250, Name: The Fiery Sun
ID: 11999247, Name: Subspace Tripmine
ID: 46846246, Name: Panda Friend
ID: 113328094, Name: Lightblox Jar
ID: 11450664, Name: Slateskin Potion
ID: 928914739, Name: Black Iron Katana
ID: 44115926, Name: Magical Umbrella
ID: 13745494, Name: Turkey Leg
ID: 2568114215, Name: Blinged Gold Motorcycle
ID: 467138029, Name: Robot Dance Gun
ID: 170903610, Name: Intergalactic Sword
ID: 11453385, Name: Katana
ID: 1033136271, Name: Interplanetary Light Sword
ID: 55917429, Name: Knights of the Splintered Skies: Bow and Arrow 
ID: 268533852, Name: Magical Unicorn
ID: 409745306, Name: Sword of the Epicredness
ID: 170897263, Name: Mad Murderer Knife
ID: 95951330, Name: Skeleton Scythe
ID: 336370943, Name: Laser Gun of Tomorrow
ID: 147143848, Name: Flaming Mace
ID: 58574452, Name: Go Fish
ID: 253519495, Name: Ultimate Drive Speedster
ID: 168143042, Name: Galactic Laser Gun
ID: 48847374, Name: Positronic Arm Cannon
ID: 477910063, Name: Deluxe Rainbow Magic Carpet
ID: 92142799, Name: Phoenix
ID: 16726030, Name: Cheezburger
ID: 49929724, Name: Knights of Redcliff: Battle Axe
ID: 15932306, Name: Starblox Latte
ID: 212296936, Name: Red Hyperlaser Gun
ID: 108875237, Name: Sapphire Rapid Fire Shocker
ID: 168140813, Name: Flaming Halberd
ID: 89487934, Name: Medusa Head
ID: 295460702, Name: Super Slash Cat Claws
ID: 12848902, Name: Teddy Bloxpin
ID: 168140949, Name: Dragon's Flame Sword
ID: 24346755, Name: Frying Pan
ID: 73829214, Name: Atmoshocker
ID: 162857357, Name: Portable Beach
ID: 107458429, Name: Throwing Spork
ID: 22787248, Name: Watermelon
ID: 57983532, Name: Volleyball
ID: 113299556, Name: Ultraviolet Laser Oculus
ID: 602146440, Name: Pizza Sword
ID: 42845853, Name: Super Freeze Ray 2011
ID: 90718350, Name: Bear Mine Gun
ID: 94233391, Name: Ghost Dragon
ID: 18462637, Name: Staff of the Winds
ID: 261439002, Name: Winters Greatsword
ID: 2463674178, Name: Baby Nessie Mount
ID: 2350122208, Name: Cobalt Interplanetary Light Sword
ID: 26013203, Name: Freeze Ray
ID: 54130559, Name: Poseidon's Quake Trident
ID: 186868641, Name: Snow and Arrow
ID: 55301897, Name: Baseball Bat
ID: 306971294, Name:  Bat Scythe
ID: 163354553, Name: Bluesteel Midas Hand
ID: 147143863, Name: Darkest Arts Sword
ID: 503957396, Name: Deluxe Coil Gun
ID: 45513203, Name: Star Hammer
ID: 115377964, Name: Laser Finger Pointers
ID: 108875151, Name: Golden Katana of Destiny
