id,name
ID: 11377306, Name: Silver Ninja Star of the Brilliant Light,11377306
ID: 12547976, Name: Space Sandwich,12547976
ID: 101106419, Name: Farmer's Revenge,101106419
ID: 11419319, Name: Healing Potion,11419319
ID: 12187348, Name: Ronin Katana,12187348
ID: 11452821, Name: Claymore,11452821
ID: 11563251, Name: Fuse Bomb,11563251
ID: 168141301, Name: Ice Dragon Slayer,168141301
ID: 11450664, Name: Slateskin Potion,11450664
ID: 113328094, Name: Lightblox Jar,113328094
ID: 31839337, Name: Torch,31839337
ID: 127506105, Name: Korblox Mage Staff,127506105
ID: 121946387, Name: Bombo's Survival Knife,121946387
ID: 10472779, Name: Bloxy Cola,10472779
ID: 13745494, Name: Turkey Leg,13745494
ID: 409745306, Name: Sword of the Epicredness,409745306
ID: 430066424, Name: Bunch of Balloons,430066424
ID: 16214845, Name: Cake,16214845
ID: 107458429, Name: Throwing Spork,107458429
ID: 22960388, Name: Chimp Friend,22960388
ID: 114020480, Name: Pretty Pretty Princess Scepter,114020480
ID: 83021250, Name: The Fiery Sun,83021250
ID: 517827962, Name: Mr. Whiskers,517827962
ID: 46846246, Name: Panda Friend,46846246
ID: 11999247, Name: Subspace Tripmine,11999247
ID: 16979083, Name: Flashbang,16979083
ID: 15932306, Name: Starblox Latte,15932306
ID: 10727852, Name: Witches Brew,10727852
ID: 16722267, Name: Moneybag,16722267
ID: 2506347092, Name: Skeleton Foam Finger,2506347092
ID: 12848902, Name: Teddy Bloxpin,12848902
ID: 95951330, Name: Skeleton Scythe,95951330
ID: 96669682, Name: Danger Dagger,96669682
ID: 2103274863, Name: 8-Bit Sword and Shield,2103274863
ID: 21754543, Name: Bamboo Katana,21754543
ID: 44115926, Name: Magical Umbrella,44115926
ID: 168140949, Name: Dragon's Flame Sword,168140949
ID: 15177716, Name: Taco,15177716
ID: 16726030, Name: Cheezburger,16726030
ID: 212296936, Name: Red Hyperlaser Gun,212296936
ID: 65545955, Name: Dance Grenade,65545955
