ID: 1001649855, Name: Giant Magnet
ID: 1001653705, Name: Futurecycle
ID: 100469994, Name: Danger Mace
ID: 100472063, Name: Sharp Looking Hat - the Gear
ID: 100472084, Name: Agent 99's Laser Goggles
ID: 101078350, Name: Holiday Ham
ID: 101078524, Name: The Overseer's Bow
ID: 101078559, Name: Icy Arctic Fowl
ID: 101079008, Name: Fancy Skateboard
ID: 101106419, Name: Farmer's Revenge
ID: 101106464, Name: Battle Bottle
ID: 101110605, Name: Gravity Disruptor
ID: 101191388, Name: Dual Illumina
ID: 1016183873, Name: Golden Magic Carpet
ID: 1016184293, Name: Coffee Cruiser
ID: 1016512413, Name: Tiger Warrior Club
ID: 101734094, Name: Korblox Flying Oblivion Horn
ID: 101854660, Name: 2013 Firework
ID: 102705386, Name: Earth's Might Staff
ID: 102705402, Name: Super Freeze Cannon
ID: 102705430, Name: Incinerator 6000
ID: 1030943683, Name: Roblox Pom-Poms
ID: 103234296, Name: Redrune Raider
ID: 1033136271, Name: Interplanetary Light Sword
ID: 1033137155, Name: Deluxe Green Roped
ID: 103338520, Name: ROBLOXIAN Damage Orb
ID: 103358098, Name: Tom's Beans
ID: 103359953, Name: Shadow Sword
ID: 1046322934, Name: Megagavel
ID: 1046323916, Name: Motherboard Sword
ID: 104642522, Name: Roped
ID: 104642550, Name: Duck
ID: 104642566, Name: Fake C4
ID: 104642700, Name: Gear suppressor 777
ID: 104642700, Name: Gear suppressor 777 
ID: 10468915, Name: ROBLOX Classic Brigand's Sword
ID: 10469910, Name: Orc Blade
ID: 10472779, Name: Bloxy Cola
ID: 10510024, Name: Board With a Nail in It
ID: 105189286, Name: Furno's Sword and Shield
ID: 105189783, Name: Trollamon
ID: 105289761, Name: Beast Claws
ID: 105351545, Name: Dragon's Blaze Sword
ID: 105351748, Name: Kittypult
ID: 1060280135, Name: Evil Knight Sword
ID: 1060282245, Name: Forest Bow and Arrow
ID: 106064315, Name: Noxious Chocolate
ID: 106064469, Name: Year of the Snake Lantern
ID: 106701564, Name: Wizards of the Astral Isles: Rat Plague Summoner
ID: 106701619, Name: Wizards of the Astral Isles: Frog Transformer
ID: 106701659, Name: Wizards of the Astral Isles: Pegasus
ID: 106701702, Name: Wizards of the Astral Isles: Limb Stretching Spell
ID: 10727852, Name: Witches Brew
ID: 10730984, Name: Black Iron Mace of Pwnage
ID: 107458429, Name: Throwing Spork
ID: 107458461, Name: Noobcaik
ID: 107458483, Name: Pompous, the Cloud
ID: 107458531, Name: Grim Axe
ID: 1074738432, Name: Gigantic Bat Wings
ID: 1074742019, Name: Mr. Wing
ID: 10758456, Name: Bluesteel Claw
ID: 10760425, Name: Staff of Sparks
ID: 1076255449, Name: Hulk Hands
ID: 108149201, Name: Dark Falchion
ID: 108153884, Name: Lucky Clover Hammer
ID: 108155504, Name: Hot Wheels Spin Shotz Disc
ID: 108158439, Name: Amerisword
ID: 10831489, Name: Fencing Foil
ID: 10831509, Name: Knight's Sword
ID: 1084980039, Name: Hognob
ID: 1088051376, Name: Skeleton BattleAxe
