id,name
11377306,Silver Ninja Star of the Brilliant Light
12547976,Space Sandwich
101106419,Farmer's Revenge
11419319,Healing Potion
12187348,Ronin Katana
11452821,Claymore
11563251,Fuse Bomb
168141301,Ice Dragon Slayer
11450664,Slateskin Potion
113328094,Lightblox Jar
31839337,Torch
127506105,Korblox Mage Staff
121946387,Bombo's Survival Knife
10472779,Bloxy Cola
13745494,Turkey Leg
409745306,Sword of the Epicredness
430066424,Bunch of Balloons
16214845,Cake
107458429,Throwing Spork
22960388,Chimp Friend
114020480,Pretty Pretty Princess Scepter
83021250,The Fiery Sun
517827962,Mr. Whiskers
46846246,Panda Friend
11999247,Subspace Tripmine
16979083,Flashbang
15932306,Starblox Latte
10727852,Witches Brew
16722267,Moneybag
2506347092,Skeleton Foam Finger
12848902,Teddy Bloxpin
95951330,Skeleton Scythe
96669682,Danger Dagger
2103274863,8-Bit Sword and Shield
21754543,Bamboo Katana
44115926,Magical Umbrella
168140949,Dragon's Flame Sword
15177716,Taco
16726030,Cheezburger
212296936,Red Hyperlaser Gun
65545955,Dance Grenade
12890798,Teddy Trap
1060280135,Evil Knight Sword
22787248,Watermelon
46846115,Ninja Jump Potion
111876831,April Showers
461488745,Flaming Orb of Divine Pain
147143863,Darkest Arts Sword
225921000,Rainbow Magic Carpet
16688968,Gravity Coil
306971294,Bat Scythe
22596452,Pepperoni Pizza
99119158,Speed Coil
163350265,Ye Olde Fire Breath Potion
19328185,Snowball
11453385,Katana
24346755,Frying Pan
53130850,Brighteyes' Sparkling Shillelagh
18482570,Scepter of Pharoahs
73829214,Atmoshocker
928914739,Black Iron Katana
83704190,Bluster Buster
57902859,Ice Cream
304721834,Zombie Protest Sign
103358098,Tom's Beans
253519495,Ultimate Drive Speedster
13206984,Wooden Club
116040770,Flashlight
489196923,Xanwood Katana
21440120,Protest Sign: Save the Zombies
123234673,Camping Machete
425121415,School's Out Launcher
58574416,Wild West Sarsaparilla
286526176,Adurite Katana
21445765,Crowbar
58574445,ROBLOX Portable Game System (RPGS)
12145515,Wooden Sword
14719505,Cavalry Sabre
11956382,Police Baton
477910063,Deluxe Rainbow Magic Carpet
1033136271,Interplanetary Light Sword
22788134,Elven Blade of Glory
104642566,Fake C4
359179463,Year of the Monkey Lantern
55301897,Baseball Bat
29100449,Banana Peel
170896941,Foul Poison Fowl
71037076,Arabian Knight Scimitar
13207169,Stone Hammer
542755101,8-Bit Blaster
15176169,Caltrops
14131602,Pirate Hook
261439002,Winters Greatsword
319656339,Cuddly Cat
122278207,Punk Wrist Cuff
295460702,Super Slash Cat Claws
162857357,Portable Beach
2463674178,Baby Nessie Mount
152233094,The Drop
191261808,Dark Pegasus
125859483,NY Pizza Frisbee
45754061,Microphone
456221232,Party Blaster Paint Gun
257810065,Attack Doge
121925044,Bombo's Bow and Arrow
402305186,Nonmagic Carpet
115377964,Laser Finger Pointers
21392199,Chocolate Milk
30392263,Decoy Deploy
243790334,Golden Steampunk Gloves
34399428,Confetti Cannon
2350122208,Cobalt Interplanetary Light Sword
20721924,Spartan Sword
283754518,Rock Thunder
746686384,Winged Magical Staff
78730532,Body Swap Potion
13477890,Pirate Juice
31314966,US Military Top Secret Experimental Jetpack
30847779,Magic Ninja
168143042,Galactic Laser Gun
52627419,Basketball
12775410,Double Bladed Hand Axe
365674685,Sword of the Epicblueness
18474459,Paint Bucket
25974222,Beach Ball
1402322831,Sword of Heartsongs
170897263,Mad Murderer Knife
42321801,Hot Chocolate
2535102249,Sword of the Raven's Feather
15179006,Helen The Hiphipapotamus
101078559,Icy Arctic Fowl
639345143,Galactic Green Blaster
15470183,Goblet
189910805,Snow Storm Cloud
39258329,ROBAR eXtreme Chocolate Crunch
65546284,Shuriken of the Clan of the Crescent Moon
1088051376,Skeleton BattleAxe
58574452,Go Fish
835779898,Rockin' Feline Guitar
255800146,Ninja Whip
125013799,Battle Slingshot
10469910,Orc Blade
154727251,Super Speedy Purple Potion
28275809,Scythe
29345958,Vuvuzela
228588651,Eggstermination Slingshot
29939404,Hot Dog
31314931,Epicsauce
2350119937,Blue Rolling Hoverboard
1258015943,2018 Noisemaker
32355966,Winsome Wizard Wand
57983532,Volleyball
11885154,Rolling Pin
119101539,Regeneration Coil
1016183873,Golden Magic Carpet
78367424,Tiger Friend
99797327,Hanukkah Menorah
